claim_scope,physical_lut_key,loc,lut_letter,logical_lut_cell_count,ownership_set,physical_class,counted_ecc_private_lower_bound,logical_cell_names
"route_physical_ecc_private_lower_bound","SLICE_X43Y31/B","SLICE_X43Y31","B","2","shared","shared_only","0","i_vec/i_vrf_i_11;i_vec/i_vrf_i_31"
"route_physical_ecc_private_lower_bound","SLICE_X43Y31/C","SLICE_X43Y31","C","2","shared","shared_only","0","i_vec/i_vrf_i_17;i_vec/i_vrf_i_21"
"route_physical_ecc_private_lower_bound","SLICE_X43Y31/D","SLICE_X43Y31","D","1","shared","shared_only","0","i_vec/i_vrf_i_318"
"route_physical_ecc_private_lower_bound","SLICE_X43Y32/A","SLICE_X43Y32","A","2","shared","shared_only","0","i_vec/popcount_part_q[0][1][2]_i_19;i_vec/popcount_part_q[0][1][5]_i_23"
"route_physical_ecc_private_lower_bound","SLICE_X43Y32/B","SLICE_X43Y32","B","1","shared","shared_only","0","i_vec/i_vrf_i_290"
"route_physical_ecc_private_lower_bound","SLICE_X43Y32/C","SLICE_X43Y32","C","1","shared","shared_only","0","i_vec/popcount_part_q[0][1][2]_i_16"
"route_physical_ecc_private_lower_bound","SLICE_X43Y32/D","SLICE_X43Y32","D","1","shared","shared_only","0","i_vec/popcount_part_q[0][1][5]_i_15"
"route_physical_ecc_private_lower_bound","SLICE_X43Y33/A","SLICE_X43Y33","A","2","shared","shared_only","0","i_vec/popcount_part_q[0][1][2]_i_5;i_vec/popcount_part_q[0][1][2]_i_6"
"route_physical_ecc_private_lower_bound","SLICE_X43Y33/B","SLICE_X43Y33","B","1","shared","shared_only","0","i_vec/popcount_part_q[0][1][2]_i_17"
"route_physical_ecc_private_lower_bound","SLICE_X43Y33/C","SLICE_X43Y33","C","1","shared","shared_only","0","i_vec/popcount_part_q[0][1][5]_i_5"
"route_physical_ecc_private_lower_bound","SLICE_X43Y33/D","SLICE_X43Y33","D","1","shared","shared_only","0","i_vec/popcount_part_q[0][1][5]_i_13"
"route_physical_ecc_private_lower_bound","SLICE_X43Y34/A","SLICE_X43Y34","A","1","shared","shared_only","0","i_vec/popcount_part_q[3][1][5]_i_16"
"route_physical_ecc_private_lower_bound","SLICE_X43Y34/B","SLICE_X43Y34","B","1","shared","shared_only","0","i_vec/i_vrf_i_28"
"route_physical_ecc_private_lower_bound","SLICE_X43Y34/C","SLICE_X43Y34","C","1","shared","shared_only","0","i_vec/i_vrf_i_314"
"route_physical_ecc_private_lower_bound","SLICE_X43Y34/D","SLICE_X43Y34","D","1","shared","shared_only","0","i_vec/popcount_part_q[3][1][5]_i_11"
"route_physical_ecc_private_lower_bound","SLICE_X43Y35/A","SLICE_X43Y35","A","1","shared","shared_only","0","i_vec/popcount_part_q[3][0][2]_i_4"
